epoch,loss,epoch_seconds,global_step,learning_rate
1,0.2705690299510956,4.268075365573168,79,0.0002
2,0.09384218145608902,3.2532018525525928,158,0.0002
3,0.07745802364349365,3.1356335636228323,237,0.0002
4,0.06941703000068665,2.88685295637697,316,0.0002
5,0.06319188778400421,3.2632288243621588,395,0.0002
6,0.05965779659748077,3.3091103276237845,474,0.0002
7,0.05651237812638283,3.3272753609344363,553,0.0002
8,0.05378652595281601,3.3411005456000566,632,0.0002
9,0.051027313435077666,3.25975461024791,711,0.0002
10,0.050253645718097685,3.2961034309118986,790,0.0002
