epoch,loss,epoch_seconds,global_step,learning_rate
1,0.6714257814884186,1.6277881115674973,16,0.0002
2,0.24141705024242402,0.5479660229757428,32,0.0002
3,0.16534180635213852,0.5961925908923149,48,0.0002
4,0.1424893021583557,0.6731256665661931,64,0.0002
5,0.12608415699005127,0.6569806784391403,80,0.0002
6,0.10054864597320556,0.6371765164658427,96,0.0002
7,0.09937560951709748,0.6109882369637489,112,0.0002
8,0.0892933502793312,0.6033848831430078,128,0.0002
9,0.08810069912672043,0.5451547354459763,144,0.0002
10,0.08740253466367721,0.6018026294186711,160,0.0002
11,0.07803235626220703,0.5946334507316351,176,0.0002
12,0.07763069632649422,0.4638945944607258,192,0.0002
13,0.07455089896917343,0.5749236429110169,208,0.0002
14,0.07712843245267868,0.5849566897377372,224,0.0002
15,0.07131203299760819,0.5825541764497757,240,0.0002
16,0.07091760063171387,0.6182519625872374,256,0.0002
17,0.06735733157396316,0.6568091455847025,272,0.0002
18,0.06648825186491013,0.6072498178109527,288,0.0002
19,0.06430932804942131,0.6413296274840832,304,0.0002
20,0.06809108775854111,0.5498364055529237,320,0.0002
