epoch,loss,epoch_seconds,global_step,learning_rate
1,0.22297881407737732,7.499962485395372,157,0.0002
2,0.07469459357261658,5.284988049417734,314,0.0002
3,0.061406272900104523,5.812424240633845,471,0.0002
4,0.05383989903330803,6.583991291001439,628,0.0002
5,0.04977505934238434,6.402712111361325,785,0.0002
6,0.04703494864106178,6.273157139308751,942,0.0002
7,0.04450434222817421,6.239103281870484,1099,0.0002
8,0.04233251502513886,6.373984826728702,1256,0.0002
9,0.04100903298854828,6.132360139861703,1413,0.0002
10,0.03981697593331337,6.130919900722802,1570,0.0002
11,0.03943949763178825,6.776375477202237,1727,0.0002
12,0.03795852291584015,6.756582005880773,1884,0.0002
13,0.03689304760098457,6.839701435528696,2041,0.0002
14,0.03687977541387081,6.47560326103121,2198,0.0002
15,0.03570514976978302,6.733446573838592,2355,0.0002
16,0.03554786761403084,6.351413495838642,2512,0.0002
17,0.03451788199543953,6.703566647134721,2669,0.0002
18,0.034469386625289915,6.302541682496667,2826,0.0002
19,0.034645304769277574,6.2829346638172865,2983,0.0002
20,0.03350794472694397,6.691375658847392,3140,0.0002
21,0.033577123951911925,6.401483909226954,3297,0.0002
22,0.032883436793088916,5.926714562810957,3454,0.0002
23,0.03291539654135704,6.3325114492326975,3611,0.0002
24,0.03260216500759125,6.114733668975532,3768,0.0002
25,0.03225801548659801,6.316187217831612,3925,0.0002
26,0.03213870089054108,6.151220112107694,4082,0.0002
27,0.03256568375825882,6.896772373467684,4239,0.0002
28,0.031959500205516814,6.773533487692475,4396,0.0002
29,0.03155369326472282,6.169726333580911,4553,0.0002
30,0.031155310410261153,6.5630164835602045,4710,0.0002
