epoch,loss,epoch_seconds,global_step,learning_rate
1,0.21690353848457336,8.589390764012933,196,0.0002
2,0.1072882421040535,8.18696649838239,392,0.0002
3,0.09117889435768127,8.12615717202425,588,0.0002
4,0.08491888233661651,8.211997483856976,784,0.0002
5,0.08193600321769715,8.578285742551088,980,0.0002
6,0.07923742129206657,8.598499561659992,1176,0.0002
7,0.07548655800461769,8.617465261369944,1372,0.0002
8,0.07398676212310791,8.274223891086876,1568,0.0002
9,0.07262970786094665,8.632997236214578,1764,0.0002
10,0.07191961799621582,5.742261162027717,1960,0.0002
11,0.07078759210824967,8.21895089186728,2156,0.0002
12,0.06985919161319733,8.260937560349703,2352,0.0002
13,0.06962592037677764,8.255391987040639,2548,0.0002
14,0.06828656170606613,7.703790320083499,2744,0.0002
15,0.06736572845458984,8.343279475346208,2940,0.0002
16,0.06669079400777816,8.211771870963275,3136,0.0002
17,0.06734299830913544,7.33533526584506,3332,0.0002
18,0.06720442278146743,8.295887775719166,3528,0.0002
19,0.06625503307580947,8.27162975911051,3724,0.0002
20,0.0663948984503746,8.128812191076577,3920,0.0002
21,0.0667089697098732,8.371492471545935,4116,0.0002
22,0.06556273593187333,8.60890967398882,4312,0.0002
23,0.06626497536420822,8.594234024174511,4508,0.0002
24,0.06536323067188263,8.751329370774329,4704,0.0002
25,0.06478549209833145,8.346194436773658,4900,0.0002
26,0.064507521276474,8.000770738348365,5096,0.0002
27,0.06426563883066178,8.709793311543763,5292,0.0002
28,0.06481834591627121,8.613837798126042,5488,0.0002
29,0.06369338554263115,8.656211338937283,5684,0.0002
30,0.06329396724700928,8.630110893398523,5880,0.0002
31,0.0638707444369793,8.643958535045385,6076,0.0002
32,0.06381183960914612,8.588543039746583,6272,0.0002
33,0.06354779769062996,8.568494254723191,6468,0.0002
34,0.06337035154819488,8.576859914697707,6664,0.0002
35,0.0630815758395195,8.63339126855135,6860,0.0002
36,0.06326360163211822,6.021515502594411,7056,0.0002
37,0.06353485365629197,8.701828986406326,7252,0.0002
38,0.06268128392457963,8.464864889159799,7448,0.0002
39,0.06293639372467995,8.36835130956024,7644,0.0002
40,0.0629399757361412,7.1064701825380325,7840,0.0002
41,0.06330659406781197,8.652506304904819,8036,0.0002
42,0.06237684296369553,8.329595004208386,8232,0.0002
43,0.06319089212298393,8.370704963803291,8428,0.0002
44,0.06229466006040573,6.980195245705545,8624,0.0002
45,0.06264356192827225,6.203055473044515,8820,0.0002
46,0.062441281938552855,7.356174831278622,9016,0.0002
47,0.062201582927703856,6.295477990992367,9212,0.0002
48,0.06279187099814415,6.323218027129769,9408,0.0002
49,0.06253112843751907,8.40117318276316,9604,0.0002
50,0.061588800710439685,8.356602299958467,9800,0.0002
51,0.06126208919763565,7.379844487644732,9996,0.0002
52,0.062466618609428405,8.310390406288207,10192,0.0002
53,0.06219918715238571,8.171019241213799,10388,0.0002
54,0.06172055091619492,8.4024394210428,10584,0.0002
55,0.062241997690200807,8.522371239960194,10780,0.0002
56,0.06152102905273438,8.052946134470403,10976,0.0002
57,0.06205718071460724,8.656136663630605,11172,0.0002
58,0.06143527761816978,8.656487273983657,11368,0.0002
59,0.06146960500240326,8.960825806483626,11564,0.0002
60,0.06204920267224312,6.968819722533226,11760,0.0002
