epoch,loss,epoch_seconds,global_step,learning_rate
1,0.40513411917686465,2.8436721432954073,40,0.0002
2,0.13562190976142882,1.7299282001331449,80,0.0002
3,0.10077348313331604,1.5903541222214699,120,0.0002
4,0.08579651589393615,1.7276535872370005,160,0.0002
5,0.07994536980390549,1.5944701191037893,200,0.0002
6,0.07312941842079163,1.6406692955642939,240,0.0002
7,0.06984044972658157,1.5951257580891252,280,0.0002
8,0.06850045546889305,1.4787223152816296,320,0.0002
9,0.06491182906627654,1.4500067494809628,360,0.0002
10,0.06377421000003815,1.7108337385579944,400,0.0002
11,0.06003582237958908,1.675929062999785,440,0.0002
12,0.059611372876167294,1.6442462289705873,480,0.0002
13,0.05732597634792328,1.4635693803429604,520,0.0002
14,0.056979199397563934,1.7633962547406554,560,0.0002
15,0.05436612355709076,1.7221947526559234,600,0.0002
16,0.05375044676065445,1.53464478533715,640,0.0002
17,0.05222389495372772,1.5313027827069163,680,0.0002
18,0.05221568113565445,1.753646731376648,720,0.0002
19,0.0493282646894455,1.7426867671310902,760,0.0002
20,0.05141469577550888,1.7882699184119701,800,0.0002
