schedule,final_train_loss,best_train_loss,conditional_accuracy,mean_confidence,pixel_diversity,sample_count,accuracy_digit_0,accuracy_digit_1,accuracy_digit_2,accuracy_digit_3,accuracy_digit_4,accuracy_digit_5,accuracy_digit_6,accuracy_digit_7,accuracy_digit_8,accuracy_digit_9
linear,0.03182650497555733,0.03182650497555733,0.4599999785423279,0.8153166174888611,0.43818211555480957,50,0.6000000238418579,0.0,1.0,0.800000011920929,0.0,0.800000011920929,0.20000000298023224,0.0,0.800000011920929,0.4000000059604645
cosine,0.031155310410261153,0.031155310410261153,0.7199999690055847,0.9278984069824219,0.3973951041698456,50,1.0,0.0,0.800000011920929,1.0,0.4000000059604645,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929
