sampler,steps,total_seconds,seconds_per_image,sample_count,conditional_accuracy,mean_confidence,pixel_diversity,accuracy_digit_0,accuracy_digit_1,accuracy_digit_2,accuracy_digit_3,accuracy_digit_4,accuracy_digit_5,accuracy_digit_6,accuracy_digit_7,accuracy_digit_8,accuracy_digit_9
DDPM,300,1.2730889348313212,0.025461778696626424,50,0.8799999952316284,0.961586594581604,0.8116487860679626,1.0,1.0,1.0,0.6000000238418579,1.0,1.0,1.0,1.0,0.4000000059604645,0.800000011920929
DDIM,100,0.4075573496520519,0.008151146993041038,50,0.4399999976158142,0.8741962909698486,0.4151088297367096,1.0,0.0,0.6000000238418579,0.800000011920929,0.0,0.4000000059604645,0.20000000298023224,0.20000000298023224,0.800000011920929,0.4000000059604645
DDIM,50,0.2047630539163947,0.004095261078327894,50,0.7199999690055847,0.9278984069824219,0.3973951041698456,1.0,0.0,0.800000011920929,1.0,0.4000000059604645,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929
DDIM,25,0.10679716896265745,0.0021359433792531492,50,0.8199999928474426,0.9651364684104919,0.38871073722839355,1.0,0.0,0.800000011920929,1.0,1.0,0.800000011920929,1.0,0.800000011920929,1.0,0.800000011920929
